id,employeeEntityId,name,gender,profileImageUrl,dateOfBirth,placeOfBirth,region,countryOfBirth,zanId,phoneNumber,contactAddress,zssfNumber,payrollNumber,cadre,salaryScale,ministry,department,appointmentType,contractType,recentTitleDate,currentReportingOffice,currentWorkplace,employmentDate,confirmationDate,retirementDate,status,ardhilHaliUrl,confirmationLetterUrl,jobContractUrl,birthCertificateUrl,institutionId
emp_004,emp_entity_4,Mwanasha Saleh Omar,Female,https://placehold.co/150x150.png?text=MSO,1986-10-06 21:00:00,Mkoani,Kusini Unguja,Tanzania,1906900040,0777-207026,"P.O. Box 3536, Vitongoji, Zanzibar",ZSSF004,PAY0004,Afisa Muandamizi,ZPS 5.2,"OFISI YA RAIS, FEDHA NA MIPANGO",Budget,Permanent,Full-time,2006-05-04 21:00:00,Director of Budget,Head Office,2006-05-04 21:00:00,2007-05-04 21:00:00,2046-10-06 21:00:00,Confirmed,https://placehold.co/ardhil-hali-4.pdf,https://placehold.co/confirmation-4.pdf,https://placehold.co/contract-4.pdf,https://placehold.co/birth-cert-4.pdf,cmd06nn7n0001e67w2h5rf86x
emp9,emp9_id,Yussuf Makame,Male,https://placehold.co/100x100.png?text=YM,1982-07-10 00:00:00,Wete,Kaskazini Pemba,Tanzania,123987654,0777-999-111,"P.O. Box 999, Wete, Pemba",ZSSF009,PAY009,Technical Officer,ZPS 4.5,Education and Vocational Training,Technical Services,Permanent,Full-time,2019-06-01 00:00:00,Director of Technical Services,Technical Office,2019-06-01 00:00:00,2020-06-01 00:00:00,2042-07-10 00:00:00,Confirmed,https://placehold.co/ardhil-hali-yussuf.pdf,https://placehold.co/confirmation-yussuf.pdf,https://placehold.co/job-contract-yussuf.pdf,https://placehold.co/birth-cert-yussuf.pdf,cmd06nn7r0002e67w8df8thtn
emp_006,emp_entity_6,Zeinab Mohammed Ali,Female,https://placehold.co/150x150.png?text=ZMA,1969-06-16 21:00:00,Mkoani,Kaskazini Pemba,Tanzania,1908920060,0777-450591,"P.O. Box 6525, Stone Town, Zanzibar",ZSSF006,PAY0006,Afisa Mkuu Daraja la II,ZPS 4.1,"OFISI YA RAIS, FEDHA NA MIPANGO",Registry,Permanent,Full-time,2012-10-02 21:00:00,Director of Registry,Head Office,2012-10-02 21:00:00,2013-10-02 21:00:00,2029-06-16 21:00:00,Confirmed,https://placehold.co/ardhil-hali-6.pdf,https://placehold.co/confirmation-6.pdf,https://placehold.co/contract-6.pdf,https://placehold.co/birth-cert-6.pdf,cmd06nn7n0001e67w2h5rf86x
emp_001,emp_entity_1,Mwalimu Hassan Khamis,Male,https://placehold.co/150x150.png?text=MHK,1987-08-02 21:00:00,Kizimbani,Kaskazini Unguja,Tanzania,1905800010,0777-757808,"P.O. Box 3445, Wete, Zanzibar",ZSSF001,PAY0001,Principal Secretary,ZPS 8.1,"OFISI YA RAIS, FEDHA NA MIPANGO",Administration,Permanent,Full-time,2022-02-12 21:00:00,Director of Administration,Head Office,2022-02-12 21:00:00,2023-02-12 21:00:00,2047-08-02 21:00:00,Confirmed,https://placehold.co/ardhil-hali-1.pdf,https://placehold.co/confirmation-1.pdf,https://placehold.co/contract-1.pdf,https://placehold.co/birth-cert-1.pdf,cmd06nn7n0001e67w2h5rf86x
emp8,emp8_id,Khadija Nassor,Female,https://placehold.co/100x100.png?text=KN,1985-03-20 00:00:00,Stone Town,Mjini Magharibi,Tanzania,987654321,0777-888-999,"P.O. Box 888, Stone Town, Zanzibar",ZSSF008,PAY008,Senior Manager,ZPS 5.1,Education and Vocational Training,Education,Permanent,Full-time,2020-01-15 00:00:00,Director of Education,Education Office,2020-01-15 00:00:00,2021-01-15 00:00:00,2045-03-20 00:00:00,Confirmed,https://placehold.co/ardhil-hali-khadija.pdf,https://placehold.co/confirmation-khadija.pdf,https://placehold.co/job-contract-khadija.pdf,https://placehold.co/birth-cert-khadija.pdf,cmd06nn7r0002e67w8df8thtn
emp_003,emp_entity_3,Said Juma Nassor,Male,https://placehold.co/150x150.png?text=SJN,1970-08-27 21:00:00,Stone Town,Kaskazini Pemba,Tanzania,1905850030,0777-817032,"P.O. Box 3765, Mkoani, Zanzibar",ZSSF003,PAY0003,Director of Finance,ZPS 6.1,"OFISI YA RAIS, FEDHA NA MIPANGO",Finance,Permanent,Full-time,2003-12-03 21:00:00,Director of Finance,Head Office,2003-12-03 21:00:00,2004-12-02 21:00:00,2030-08-27 21:00:00,Confirmed,https://placehold.co/ardhil-hali-3.pdf,https://placehold.co/confirmation-3.pdf,https://placehold.co/contract-3.pdf,https://placehold.co/birth-cert-3.pdf,cmd06nn7n0001e67w2h5rf86x
emp_005,emp_entity_5,Ahmed Khamis Vuai,Male,https://placehold.co/150x150.png?text=AKV,1973-02-05 21:00:00,Bububu,Mjini Magharibi,Tanzania,1907880050,0777-275399,"P.O. Box 5695, Mkoani, Zanzibar",ZSSF005,PAY0005,Senior Administrative Officer,ZPS 4.2,"OFISI YA RAIS, FEDHA NA MIPANGO",Human Resources,Permanent,Full-time,2008-05-19 21:00:00,Director of Human Resources,Head Office,2008-05-19 21:00:00,,2033-02-05 21:00:00,On Probation,https://placehold.co/ardhil-hali-5.pdf,,https://placehold.co/contract-5.pdf,https://placehold.co/birth-cert-5.pdf,cmd06nn7n0001e67w2h5rf86x
emp_007,emp_entity_7,Prof. Omar Juma Khamis,Male,https://placehold.co/150x150.png?text=POJK,1974-10-23 21:00:00,Mkoani,Kaskazini Pemba,Tanzania,1905650070,0777-696363,"P.O. Box 7280, Mkoani, Zanzibar",ZSSF007,PAY0007,Principal Secretary,ZPS 8.1,WIZARA YA ELIMU NA MAFUNZO YA AMALI,Policy,Permanent,Full-time,2008-08-23 21:00:00,Director of Policy,Head Office,2008-08-23 21:00:00,2009-08-23 21:00:00,2034-10-23 21:00:00,Confirmed,https://placehold.co/ardhil-hali-7.pdf,https://placehold.co/confirmation-7.pdf,https://placehold.co/contract-7.pdf,https://placehold.co/birth-cert-7.pdf,cmd06nn7r0002e67w8df8thtn
emp_008,emp_entity_8,Dr. Amina Hassan Said,Female,https://placehold.co/150x150.png?text=DAHS,1962-05-04 21:00:00,Chake Chake,Mjini Magharibi,Tanzania,1906720080,0777-140697,"P.O. Box 4560, Mkoani, Zanzibar",ZSSF008,PAY0008,Director of Education,ZPS 6.1,WIZARA YA ELIMU NA MAFUNZO YA AMALI,Primary Education,Permanent,Full-time,2004-11-22 21:00:00,Director of Primary Education,Head Office,2004-11-22 21:00:00,2005-11-22 21:00:00,2022-05-04 21:00:00,Confirmed,https://placehold.co/ardhil-hali-8.pdf,https://placehold.co/confirmation-8.pdf,https://placehold.co/contract-8.pdf,https://placehold.co/birth-cert-8.pdf,cmd06nn7r0002e67w8df8thtn
emp_009,emp_entity_9,Hamad Ali Khamis,Male,https://placehold.co/150x150.png?text=HAK,1989-07-20 21:00:00,Wete,Mjini Magharibi,Tanzania,1907800090,0777-792099,"P.O. Box 2350, Mkoani, Zanzibar",ZSSF009,PAY0009,Senior Education Officer,ZPS 5.1,WIZARA YA ELIMU NA MAFUNZO YA AMALI,Secondary Education,Permanent,Full-time,2001-04-10 21:00:00,Director of Secondary Education,Head Office,2001-04-10 21:00:00,2002-04-10 21:00:00,2049-07-20 21:00:00,Confirmed,https://placehold.co/ardhil-hali-9.pdf,https://placehold.co/confirmation-9.pdf,https://placehold.co/contract-9.pdf,https://placehold.co/birth-cert-9.pdf,cmd06nn7r0002e67w8df8thtn
